"Unnamed: 0","Unnamed: 1","Unnamed: 2","Unnamed: 3","Unnamed: 4","Unnamed: 5","Unnamed: 6","Unnamed: 7","Unnamed: 8","Unnamed: 9","Unnamed: 10","Unnamed: 11","Unnamed: 12","Unnamed: 13","Unnamed: 14","Unnamed: 15"
""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"NATIONAL INSTITUTE OF TRANSPORT TEST 2 TIMETABLE FOR ACADEMIC YEAR 2022_2023"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
""," BAE (54)"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
""," 07:00-08:00"," 08:00-08:30"," 08:30-09:30"," 09:30-10:00"," 10:00-11:00"," 11:00-11:30"," 11:30-12:30"," 12:30-13:00"," 13:00-14:00"," 14:00-14:30"," 14:30-15:30"," 15:30-16:00"," 16:00-17:00"," 17:00-17:30"," 17:30-18:30"
"Monday 09/01/2023"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"
"Tuesday 10/01/2023"," AEU 08103 Engineering Management"," -X-"," ---"," -X-"," AEU 08101 Automobile Design & Development"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"
""," CLASS V(88)"," "," "," "," LIBRARY (70)"," "," "," "," "," "," "," "," "," "," "
"Wednesday 11/01/2023"," ---"," -X-"," AEU 08104 Environmental & Safety Engineering"," -X-"," AEU 08102 Engine Management"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"
""," "," "," LIBRARY (70)"," "," LIBRARY (70)"," "," "," "," "," "," "," "," "," "," "
"Thursday 12/01/2023"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"
"Friday 13/01/2023"," ---"," -X-"," ---"," -X-"," ---"," -X-"," AEU 08102 Engine Management"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"
""," "," "," "," "," "," "," LIBRARY (70)"," "," "," "," "," "," "," "," "
"Saturday 14/01/2023"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"
"Sunday 15/01/2023"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"
"Monday 16/01/2023"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"
""," Timetable generated with FET 5.30.3 on 1/3/23 1:09 PM"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"back to the top"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"NATIONAL INSTITUTE OF TRANSPORT TEST 2 TIMETABLE FOR ACADEMIC YEAR 2022_2023"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
""," BAME (20)"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
""," 07:00-08:00"," 08:00-08:30"," 08:30-09:30"," 09:30-10:00"," 10:00-11:00"," 11:00-11:30"," 11:30-12:30"," 12:30-13:00"," 13:00-14:00"," 14:00-14:30"," 14:30-15:30"," 15:30-16:00"," 16:00-17:00"," 17:00-17:30"," 17:30-18:30"
